FareClass,ObservationDate,Departure_Date,ORG,Dst,Carrier,Flight_Code,Dep_time,Arr_time,Apt_Fees,Gov_Tax,Total_Price_Non_Res,Base_Fare_Non_Res,Base_Fare_Non_Res_Calc,Airport_Fees_Res,Gov_Tax_Res,Total_Price_Res,Base_Fare_Res,Base_Fare_Res_Calc,Discount_Value,Discount_Value_Calc,Security,Security Tax,Currency
Basic, 06/01/2019, 15/01/2019, FUE, MAD, IB, 3907, 13:45, 17:25, 8.43, , 41.0, 32.75, , 8.43, , 18, , 10.25, 30.75, , 2.98, 0.52, €
Optimal, 06/01/2019, 15/01/2019, FUE, MAD, IB, 3907, 13:45, 17:25, 8.43, , 45.0, 36.50, , 8.43, , 19, , 11.25, 33.75, , 2.98, 0.52, €
Basic, 06/01/2019, 15/01/2019, FUE, MAD, IB, 3907, 13:45, 17:25, 8.43, , 41.0, 32.75, , 8.43, , 18, , 10.25, 30.75, , 2.98, 0.52, €
Optimal, 06/01/2019, 15/01/2019, FUE, MAD, IB, 3907, 13:45, 17:25, 8.43, , 45.0, , , 8.43, , 19, , 11.25, 33.75, , 2.98, 0.52, €
Flexible, 06/01/2019, 15/01/2019, FUE, MAD, IB, 3907, 13:45, 17:25, 8.43, , 100.0, 36.50, , 8.43, , 33, , 25.0, 75.0, , 2.98, 0.52, €
None, 06/01/2019, 15/01/2019, FUE, MAD, IB, 3907, 13:45, 17:25, 8.43, , 117.0, 109.00, , 8.43, , 37, , 29.25, 87.75, , 2.98, 0.52, €
Basic, 06/01/2019, 15/01/2019, IBZ, MAD, IB, 8909, 14:35, 15:50, 7.15, , 57.0, 50.00, , 7.15, , 21, , 14.25, 42.75, , 2.49, 0.54, €
Flexible, 06/01/2019, 15/01/2019, IBZ, MAD, IB, 8909, 14:35, 15:50, 7.15, , 236.0, 229.00, , 7.15, , 66, , 59.0, 177.0, , 2.49, 0.54, €
Business Flexible, 06/01/2019, 15/01/2019, IBZ, MAD, IB, 8909, 14:35, 15:50, 7.15, , 370.0, , , 7.15, , 99, , 92.5, 277.5, , 2.49, 0.54, €
None, 06/01/2019, 15/01/2019, IBZ, MAD, IB, 8909, 14:35, 15:50, 7.15, , 449.0, , , 7.15, , 119, , 112.25, 336.75, , 2.49, 0.54, €
Basic, 06/01/2019, 15/01/2019, IBZ, VLC, IB, 8441, 11:45, 12:35, 7.15, , 46.0, 39.00, , 7.15, , 18, , 11.5, 34.5, , 2.49, 0.54, €
Optimal, 06/01/2019, 15/01/2019, IBZ, VLC, IB, 8441, 11:45, 12:35, 7.15, , 61.0, , , 7.15, , 22, , 15.25, 45.75, , 2.49, 0.54, €
Basic, 06/01/2019, 15/01/2019, IBZ, VLC, IB, 8441, 11:45, 12:35, 7.15, , 46.0, 39.00, , 7.15, , 18, , 11.5, 34.5, , 2.49, 0.54, €
Optimal, 06/01/2019, 15/01/2019, IBZ, VLC, IB, 8441, 11:45, 12:35, 7.15, , 61.0, 54.00, , 7.15, , 22, , 15.25, 45.75, , 2.49, 0.54, €
Flexible, 06/01/2019, 15/01/2019, IBZ, VLC, IB, 8441, 11:45, 12:35, 7.15, , 226.0, 219.00, , 7.15, , 63, , 56.5, 169.5, , 2.49, 0.54, €
Business Flexible, 06/01/2019, 15/01/2019, IBZ, VLC, IB, 8441, 11:45, 12:35, 7.15, , 294.0, 287.00, , 7.15, , 80, , 73.5, 220.5, , 2.49, 0.54, €
None, 06/01/2019, 15/01/2019, IBZ, VLC, IB, 8441, 11:45, 12:35, 7.15, , 434.0, 427.00, , 7.15, , 115, , 108.5, 325.5, , 2.49, 0.54, €
Basic, 06/01/2019, 15/01/2019, IBZ, VLC, IB, 8437, 18:15, 19:00, 7.15, , 46.0, 39.00, , 7.15, , 18, , 11.5, 34.5, , 2.49, 0.54, €
Optimal, 06/01/2019, 15/01/2019, IBZ, VLC, IB, 8437, 18:15, 19:00, 7.15, , 61.0, 54.00, , 7.15, , 22, , 15.25, 45.75, , 2.49, 0.54, €
Flexible, 06/01/2019, 15/01/2019, IBZ, VLC, IB, 8437, 18:15, 19:00, 7.15, , 226.0, 219.00, , 7.15, , 63, , 56.5, 169.5, , 2.49, 0.54, €
Business Flexible, 06/01/2019, 15/01/2019, IBZ, VLC, IB, 8437, 18:15, 19:00, 7.15, , 294.0, 287.00, , 7.15, , 80, , 73.5, 220.5, , 2.49, 0.54, €
None, 06/01/2019, 15/01/2019, IBZ, VLC, IB, 8437, 18:15, 19:00, 7.15, , 434.0, 427.00, , 7.15, , 115, , 108.5, 325.5, , 2.49, 0.54, €
Basic, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3835, 06:35, 10:20, 9.21, , 33.0, 24.00, , 9.21, , 17, , 8.25, 24.75, , 2.98, 0.52, €
Optimal, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3835, 06:35, 10:20, 9.21, , 38.0, 29.00, , 9.21, , 18, , 9.5, 28.5, , 2.98, 0.52, €
Flexible, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3835, 06:35, 10:20, 9.21, , 77.0, , , 9.21, , 28, , 19.25, 57.75, , 2.98, 0.52, €
Basic, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3835, 06:35, 10:20, 9.21, , 33.0, 24.00, , 9.21, , 17, , 8.25, 24.75, , 2.98, 0.52, €
Optimal, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3835, 06:35, 10:20, 9.21, , 38.0, 29.00, , 9.21, , 18, , 9.5, 28.5, , 2.98, 0.52, €
Flexible, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3835, 06:35, 10:20, 9.21, , 77.0, 68.25, , 9.21, , 28, , 19.25, 57.75, , 2.98, 0.52, €
Business Flexible, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3835, 06:35, 10:20, 9.21, , 127.0, 117.75, , 9.21, , 40, , 31.75, 95.25, , 2.98, 0.52, €
Basic, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3837, 07:20, 11:05, 9.21, , 33.0, 24.00, , 9.21, , 17, , 8.25, 24.75, , 2.98, 0.52, €
Optimal, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3837, 07:20, 11:05, 9.21, , 38.0, 29.00, , 9.21, , 18, , 9.5, 28.5, , 2.98, 0.52, €
Flexible, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3837, 07:20, 11:05, 9.21, , 77.0, 68.25, , 9.21, , 28, , 19.25, 57.75, , 2.98, 0.52, €
Business Flexible, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3837, 07:20, 11:05, 9.21, , 127.0, 117.75, , 9.21, , 40, , 31.75, 95.25, , 2.98, 0.52, €
Basic, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3827, 11:15, 14:55, 9.21, , 33.0, 24.00, , 9.21, , 17, , 8.25, 24.75, , 2.98, 0.52, €
Optimal, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3827, 11:15, 14:55, 9.21, , 38.0, 29.00, , 9.21, , 18, , 9.5, 28.5, , 2.98, 0.52, €
Business Flexible, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3827, 11:15, 14:55, 9.21, , 127.0, 117.75, , 9.21, , 40, , 31.75, 95.25, , 2.98, 0.52, €
Basic, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3823, 14:00, 17:45, 9.21, , 33.0, 24.00, , 9.21, , 17, , 8.25, 24.75, , 2.98, 0.52, €
Basic, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3825, 15:05, 18:50, 9.21, , 33.0, 24.00, , 9.21, , 17, , 8.25, 24.75, , 2.98, 0.52, €
Optimal, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3825, 15:05, 18:50, 9.21, , 38.0, , , 9.21, , 18, , 9.5, 28.5, , 2.98, 0.52, €
Flexible, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3825, 15:05, 18:50, 9.21, , 77.0, 68.25, , 9.21, , 28, , 19.25, 57.75, , 2.98, 0.52, €
Business Flexible, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3825, 15:05, 18:50, 9.21, , 127.0, 117.75, , 9.21, , 40, , 31.75, 95.25, , 2.98, 0.52, €
Basic, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3833, 18:55, 22:40, 9.21, , 33.0, 24.00, , 9.21, , 17, , 8.25, 24.75, , 2.98, 0.52, €
Optimal, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3833, 18:55, 22:40, 9.21, , 38.0, 29.00, , 9.21, , 18, , 9.5, 28.5, , 2.98, 0.52, €
Flexible, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3833, 18:55, 22:40, 9.21, , 77.0, 68.25, , 9.21, , 28, , 19.25, 57.75, , 2.98, 0.52, €
Business Flexible, 06/01/2019, 15/01/2019, LPA, MAD, IB, 3833, 18:55, 22:40, 9.21, , 127.0, 117.75, , 9.21, , 40, , 31.75, 95.25, , 2.98, 0.52, €
